AIRPORT_ID,AIRPORT,DISPLAY_AIRPORT_NAME,DISPLAY_AIRPORT_CITY_NAME_FULL,AIRPORT_STATE_NAME,AIRPORT_STATE_CODE,LATITUDE,LONGITUDE,ELEVATION,ICAO,IATA,FAA,MESONET_STATION
11267,DAY,James M Cox/Dayton International,"Dayton, OH",Ohio,OH,39.90222,-84.219444,1009,KDAY,DAY,DAY,DAY
15074,SWO,Stillwater Regional,"Stillwater, OK",Oklahoma,OK,36.16139,-97.08583,1000,KSWO,SWO,SWO,SWO
13851,OKC,Will Rogers World,"Oklahoma City, OK",Oklahoma,OK,35.393055,-97.60083,1295,KOKC,OKC,OKC,OKC
12891,LAW,Lawton-Fort Sill Regional,"Lawton/Fort Sill, OK",Oklahoma,OK,34.56778,-98.416664,1110,KLAW,LAW,LAW,LAW
15370,TUL,Tulsa International,"Tulsa, OK",Oklahoma,OK,36.198334,-95.888054,677,KTUL,TUL,TUL,TUL
14489,RDM,Roberts Field,"Bend/Redmond, OR",Oregon,OR,44.254166,-121.15056,3080,KRDM,RDM,RDM,RDM
13264,MFR,Rogue Valley International - Medford,"Medford, OR",Oregon,OR,42.375,-122.87334,1335,KMFR,MFR,MFR,MFR
14057,PDX,Portland International,"Portland, OR",Oregon,OR,45.58861,-122.59695,31,KPDX,PDX,PDX,PDX
11603,EUG,Mahlon Sweet Field,"Eugene, OR",Oregon,OR,44.124443,-123.211945,374,KEUG,EUG,EUG,EUG
13964,OTH,Southwest Oregon Regional,"North Bend/Coos Bay, OR",Oregon,OR,43.416943,-124.24695,17,KOTH,OTH,OTH,OTH
11577,ERI,Erie International/Tom Ridge Field,"Erie, PA",Pennsylvania,PA,42.083057,-80.17389,732,KERI,ERI,ERI,ERI
14100,PHL,Philadelphia International,"Philadelphia, PA",Pennsylvania,PA,39.871944,-75.240555,36,KPHL,PHL,PHL,PHL
10135,ABE,Lehigh Valley International,"Allentown/Bethlehem/Easton, PA",Pennsylvania,PA,40.6525,-75.44028,393,KABE,ABE,ABE,ABE
10434,AVP,Wilkes Barre Scranton International,"Scranton/Wilkes-Barre, PA",Pennsylvania,PA,41.338333,-75.723335,962,KAVP,AVP,AVP,AVP
12559,JST,John Murtha Johnstown-Cambria County,"Johnstown, PA",Pennsylvania,PA,40.315556,-78.834724,2284,KJST,JST,JST,JST
12898,LBE,Arnold Palmer Regional,"Latrobe, PA",Pennsylvania,PA,40.273056,-79.41028,1199,KLBE,LBE,LBE,LBE
13230,MDT,Harrisburg International,"Harrisburg, PA",Pennsylvania,PA,40.193054,-76.7625,310,KMDT,MDT,MDT,MDT
14711,SCE,University Park,"State College, PA",Pennsylvania,PA,40.85,-77.8475,1239,KUNV,SCE,UNV,UNV
14122,PIT,Pittsburgh International,"Pittsburgh, PA",Pennsylvania,PA,40.49139,-80.23278,1203,KPIT,PIT,PIT,PIT
14254,PSE,Mercedita,"Ponce, PR",Puerto Rico,PR,18.008888,-66.564445,28,TJPS,PSE,PSE,TJPS
10732,BQN,Rafael Hernandez,"Aguadilla, PR",Puerto Rico,PR,18.494722,-67.12945,237,TJBQ,BQN,BQN,TJBQ
14843,SJU,Luis Munoz Marin International,"San Juan, PR",Puerto Rico,PR,18.439444,-66.00222,9,TJSJ,SJU,SJU,TJSJ
14307,PVD,Rhode Island Tf Green International,"Providence, RI",Rhode Island,RI,41.72222,-71.42778,55,KPVD,PVD,PVD,PVD
10994,CHS,Charleston AFB/International,"Charleston, SC",South Carolina,SC,32.898613,-80.04056,46,KCHS,CHS,CHS,CHS
10868,CAE,Columbia Metropolitan,"Columbia, SC",South Carolina,SC,33.93889,-81.119446,236,KCAE,CAE,CAE,CAE
11996,GSP,Greenville-Spartanburg International,"Greer, SC",South Carolina,SC,34.895557,-82.21889,964,KGSP,GSP,GSP,GSP
12124,HHH,Hilton Head Airport,"Hilton Head, SC",South Carolina,SC,32.224445,-80.6975,19,KHXD,HHH,HXD,HXD
13577,MYR,Myrtle Beach International,"Myrtle Beach, SC",South Carolina,SC,33.67972,-78.92834,25,KMYR,MYR,MYR,MYR
11699,FLO,Florence Regional,"Florence, SC",South Carolina,SC,34.185276,-79.72389,146,KFLO,FLO,FLO,FLO
10409,ATY,Watertown Regional,"Watertown, SD",South Dakota,SD,44.913887,-97.154724,1749,KATY,ATY,ATY,ATY
10141,ABR,Aberdeen Regional,"Aberdeen, SD",South Dakota,SD,45.446667,-98.4225,1302,KABR,ABR,ABR,ABR
14457,RAP,Rapid City Regional,"Rapid City, SD",South Dakota,SD,44.045277,-103.05722,3204,KRAP,RAP,RAP,RAP
11775,FSD,Joe Foss Field,"Sioux Falls, SD",South Dakota,SD,43.581944,-96.74194,1429,KFSD,FSD,FSD,FSD
14120,PIR,Pierre Regional,"Pierre, SD",South Dakota,SD,44.38278,-100.285835,1744,KPIR,PIR,PIR,PIR
15323,TRI,Tri Cities,"Bristol/Johnson City/Kingsport, TN",Tennessee,TN,36.475277,-82.4075,1519,KTRI,TRI,TRI,TRI
10693,BNA,Nashville International,"Nashville, TN",Tennessee,TN,36.124443,-86.678055,599,KBNA,BNA,BNA,BNA
13244,MEM,Memphis International,"Memphis, TN",Tennessee,TN,35.0425,-89.97667,341,KMEM,MEM,MEM,MEM
15412,TYS,McGhee Tyson,"Knoxville, TN",Tennessee,TN,35.81111,-83.99416,981,KTYS,TYS,TYS,TYS
10980,CHA,Lovell Field,"Chattanooga, TN",Tennessee,TN,35.03528,-85.20361,683,KCHA,CHA,CHA,CHA
12016,GUM,Guam International,"Guam, TT",U.S. Pacific Trust Territories and Possessions,TT,13.483889,144.79723,305,PGUM,GUM,GUM,PGUM
14222,PPG,Pago Pago International,"Pago Pago, TT",U.S. Pacific Trust Territories and Possessions,TT,-14.33,-170.71028,32,NSTU,PPG,PPG,NSTU
14955,SPN,Francisco C. Ada Saipan International,"Saipan, TT",U.S. Pacific Trust Territories and Possessions,TT,15.120277,145.73,215,PGSN,SPN,GSN,PGSN
11140,CRP,Corpus Christi International,"Corpus Christi, TX",Texas,TX,27.772223,-97.5025,44,KCRP,CRP,CRP,CRP
